Date,Sales
2021-01-01,226.56
2021-01-02,197.08
2021-01-03,238.64
2021-01-04,284.68
2021-01-05,199.08
2021-01-06,201.35
2021-01-07,294.27
2021-01-08,255.94
2021-01-09,196.34
2021-01-10,249.19
2021-01-11,201.14
2021-01-12,203.26
2021-01-13,240.87
2021-01-14,135.33
2021-01-15,146.97
2021-01-16,207.31
2021-01-17,186.98
2021-01-18,255.53
2021-01-19,196.6
2021-01-20,173.56
2021-01-21,319.62
2021-01-22,237.2
2021-01-23,254.01
2021-01-24,181.53
2021-01-25,227.66
2021-01-26,262.53
2021-01-27,201.53
2021-01-28,279.95
2021-01-29,233.2
2021-01-30,250.7
2021-01-31,237.24
2021-02-01,361.96
2021-02-02,270.68
2021-02-03,220.46
2021-02-04,316.44
2021-02-05,216.23
2021-02-06,289.66
2021-02-07,183.16
2021-02-08,216.64
2021-02-09,294.78
2021-02-10,323.72
2021-02-11,297.22
2021-02-12,284.7
2021-02-13,277.23
2021-02-14,220.15
2021-02-15,259.85
2021-02-16,274.56
2021-02-17,352.17
2021-02-18,318.2
2021-02-19,214.55
2021-02-20,320.57
2021-02-21,286.75
2021-02-22,273.77
2021-02-23,339.79
2021-02-24,362.32
2021-02-25,358.88
2021-02-26,271.87
2021-02-27,299.86
2021-02-28,333.35
2021-03-01,367.01
2021-03-02,295.69
2021-03-03,311.76
2021-03-04,267.09
2021-03-05,263.94
2021-03-06,365.69
2021-03-07,394.16
2021-03-08,324.01
2021-03-09,379.02
2021-03-10,348.13
2021-03-11,298.97
2021-03-12,350.45
2021-03-13,410.4
2021-03-14,332.8
2021-03-15,413.89
2021-03-16,205.71
2021-03-17,378.8
2021-03-18,343.04
2021-03-19,324.69
2021-03-20,345.15
2021-03-21,242.08
2021-03-22,331.34
2021-03-23,361.01
2021-03-24,417.86
2021-03-25,318.83
2021-03-26,305.07
2021-03-27,-321.12
2021-03-28,392.67
2021-03-29,364.0
2021-03-30,321.7
2021-03-31,374.45
2021-04-01,354.21
2021-04-02,398.33
2021-04-03,315.31
2021-04-04,334.51
2021-04-05,331.74
2021-04-06,278.59
2021-04-07,366.97
2021-04-08,365.58
2021-04-09,353.11
2021-04-10,341.43
2021-04-11,282.67
2021-04-12,332.65
2021-04-13,336.77
2021-04-14,313.98
2021-04-15,346.19
2021-04-16,374.58
2021-04-17,448.79
2021-04-18,363.28
2021-04-19,367.48
2021-04-20,350.89
2021-04-21,258.67
2021-04-22,353.24
2021-04-23,357.51
2021-04-24,-477.57
2021-04-25,344.66
2021-04-26,369.21
2021-04-27,352.22
2021-04-28,295.32
2021-04-29,410.66
2021-04-30,390.86
2021-05-01,392.54
2021-05-02,307.21
2021-05-03,422.48
2021-05-04,281.89
2021-05-05,380.94
2021-05-06,
2021-05-07,301.23
2021-05-08,321.99
2021-05-09,-354.8
2021-05-10,324.14
2021-05-11,271.25
2021-05-12,351.66
2021-05-13,294.55
2021-05-14,370.75
2021-05-15,300.48
2021-05-16,423.3
2021-05-17,305.98
2021-05-18,328.36
2021-05-19,384.44
2021-05-20,281.5
2021-05-21,353.67
2021-05-22,406.89
2021-05-23,260.38
2021-05-24,349.19
2021-05-25,352.13
2021-05-26,377.39
2021-05-27,275.6
2021-05-28,270.56
2021-05-29,361.79
2021-05-30,349.64
2021-05-31,
2021-06-01,350.26
2021-06-02,297.99
2021-06-03,342.64
2021-06-04,344.7
2021-06-05,293.34
2021-06-06,421.35
2021-06-07,350.73
2021-06-08,266.45
2021-06-09,357.8
2021-06-10,275.19
2021-06-11,362.22
2021-06-12,379.72
2021-06-13,279.67
2021-06-14,367.79
2021-06-15,339.16
2021-06-16,358.51
2021-06-17,411.13
2021-06-18,302.9
2021-06-19,276.35
2021-06-20,268.43
2021-06-21,270.97
2021-06-22,306.76
2021-06-23,326.52
2021-06-24,322.14
2021-06-25,348.5
2021-06-26,306.63
2021-06-27,377.49
2021-06-28,290.41
2021-06-29,438.48
2021-06-30,332.59
2021-07-01,257.27
2021-07-02,245.41
2021-07-03,321.91
2021-07-04,285.44
2021-07-05,331.14
2021-07-06,317.93
2021-07-07,289.46
2021-07-08,249.6
2021-07-09,215.04
2021-07-10,267.3
2021-07-11,331.29
2021-07-12,298.03
2021-07-13,223.9
2021-07-14,293.71
2021-07-15,303.18
2021-07-16,238.6
2021-07-17,289.36
2021-07-18,283.48
2021-07-19,222.32
2021-07-20,296.27
2021-07-21,305.34
2021-07-22,330.38
2021-07-23,327.85
2021-07-24,205.23
2021-07-25,226.18
2021-07-26,297.8
2021-07-27,296.72
2021-07-28,295.78
2021-07-29,461.67
2021-07-30,296.6
2021-07-31,323.87
2021-08-01,313.85
2021-08-02,297.78
2021-08-03,248.53
2021-08-04,301.34
2021-08-05,
2021-08-06,249.79
2021-08-07,236.51
2021-08-08,264.04
2021-08-09,374.86
2021-08-10,164.97
2021-08-11,291.86
2021-08-12,176.15
2021-08-13,232.45
2021-08-14,309.77
2021-08-15,257.83
2021-08-16,200.05
2021-08-17,217.51
2021-08-18,286.62
2021-08-19,215.5
2021-08-20,262.25
2021-08-21,253.13
2021-08-22,217.72
2021-08-23,356.97
2021-08-24,280.96
2021-08-25,147.53
2021-08-26,257.65
2021-08-27,214.81
2021-08-28,290.11
2021-08-29,207.48
2021-08-30,
2021-08-31,271.66
2021-09-01,289.39
2021-09-02,185.8
2021-09-03,228.84
2021-09-04,221.59
2021-09-05,212.46
2021-09-06,333.23
2021-09-07,265.05
2021-09-08,181.64
2021-09-09,290.48
2021-09-10,350.63
2021-09-11,296.1
2021-09-12,168.5
2021-09-13,220.27
2021-09-14,307.88
2021-09-15,209.22
2021-09-16,266.9
2021-09-17,283.57
2021-09-18,198.65
2021-09-19,242.21
2021-09-20,83.34
2021-09-21,194.43
2021-09-22,233.29
2021-09-23,183.84
2021-09-24,328.18
2021-09-25,175.42
2021-09-26,225.32
2021-09-27,254.28
2021-09-28,320.26
2021-09-29,176.88
2021-09-30,307.34
2021-10-01,250.24
2021-10-02,201.22
2021-10-03,
2021-10-04,261.48
2021-10-05,222.18
2021-10-06,256.37
2021-10-07,234.33
2021-10-08,260.02
2021-10-09,288.23
2021-10-10,335.23
2021-10-11,194.87
2021-10-12,364.28
2021-10-13,160.92
2021-10-14,251.86
2021-10-15,289.81
2021-10-16,275.43
2021-10-17,231.25
2021-10-18,253.02
2021-10-19,239.84
2021-10-20,236.12
2021-10-21,309.19
2021-10-22,285.71
2021-10-23,234.39
2021-10-24,315.22
2021-10-25,286.84
2021-10-26,313.38
2021-10-27,305.5
2021-10-28,233.89
2021-10-29,248.67
2021-10-30,-315.41
2021-10-31,309.95
2021-11-01,279.81
2021-11-02,288.16
2021-11-03,347.65
2021-11-04,
2021-11-05,314.13
2021-11-06,278.21
2021-11-07,-279.0
2021-11-08,346.41
2021-11-09,334.36
2021-11-10,335.4
2021-11-11,361.66
2021-11-12,299.11
2021-11-13,333.86
2021-11-14,285.98
2021-11-15,319.45
2021-11-16,298.5
2021-11-17,311.65
2021-11-18,338.36
2021-11-19,269.53
2021-11-20,416.9
2021-11-21,263.85
2021-11-22,255.33
2021-11-23,375.85
2021-11-24,359.45
2021-11-25,353.02
2021-11-26,355.19
2021-11-27,325.13
2021-11-28,282.87
2021-11-29,333.53
2021-11-30,297.91
2021-12-01,382.56
2021-12-02,328.5
2021-12-03,296.65
2021-12-04,323.93
2021-12-05,362.74
2021-12-06,316.02
2021-12-07,305.21
